epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,612.543,1.07572,0.29053,0.14804,0.64018,1.01424,0.89855,0.90909,0.95051,0.64799,0.89855,0.90909,0.97297,0.9687,1.15316,0.20246,0.0828,0.721,1.04982,0.0011882,0.0011882,0.0011882
43,623.673,1.10436,0.34193,0.18811,0.6756,1.0432,0.89519,0.90909,0.96479,0.67961,1,0.87815,0.98115,0.97601,1.13264,0.19227,0.08293,0.71415,1.02408,0.0011684,0.0011684,0.0011684
44,636.645,1.11788,0.34047,0.11567,0.63475,1.04071,0.91292,1,0.9725,0.69825,0.91292,1,0.9875,0.9875,1.11413,0.18477,0.07645,0.62737,1.01529,0.0011486,0.0011486,0.0011486
45,648.756,1.06987,0.26991,0.11366,0.61009,1.00239,0.84357,1,0.97297,0.70871,0.84357,1,0.97297,0.97029,1.09138,0.18231,0.07266,0.58668,0.98524,0.0011288,0.0011288,0.0011288
46,659.192,1.07246,0.28924,0.17708,0.62003,1.02806,1,0.83387,0.97571,0.69102,1,0.83387,0.98115,0.97559,1.133,0.16901,0.06326,0.62226,1.00077,0.001109,0.001109,0.001109
47,669.725,1.09369,0.40146,0.15163,0.64651,1.03112,1,0.80507,0.96282,0.69478,0.84479,0.99035,0.97297,0.97297,1.10517,0.14198,0.06572,0.613,0.9822,0.0010892,0.0010892,0.0010892
48,689.105,1.01478,0.27098,0.12958,0.59389,0.9677,0.89384,0.90909,0.95464,0.72397,0.9155,0.98597,0.9875,0.9875,1.06308,0.14189,0.07175,0.65991,0.98956,0.0010694,0.0010694,0.0010694
49,701.28,1.03381,0.29253,0.10309,0.60754,1.00238,0.78355,0.98804,0.94743,0.71672,1,0.98705,0.995,0.995,1.02895,0.14145,0.078,0.70971,0.96567,0.0010496,0.0010496,0.0010496
50,713.848,0.95481,0.27768,0.14723,0.579,0.93601,0.89262,0.81818,0.91079,0.66739,1,0.98987,0.995,0.97131,1.10876,0.13472,0.10689,0.69051,1.00313,0.0010298,0.0010298,0.0010298
51,726.724,0.99936,0.29586,0.0928,0.56765,0.95844,0.90785,0.89667,0.94233,0.69247,1,0.98728,0.995,0.98323,1.09652,0.13339,0.11436,0.71531,1.03684,0.00101,0.00101,0.00101
52,740.399,0.90405,0.21983,0.11935,0.55751,0.95741,0.90584,0.90909,0.93009,0.69347,0.99857,1,0.995,0.98589,1.08172,0.14558,0.113,0.6945,1.02064,0.0009902,0.0009902,0.0009902
53,760.69,0.97935,0.40094,0.18847,0.59271,0.95272,0.84452,0.9884,0.94843,0.70007,0.99728,1,0.995,0.99034,1.08753,0.13771,0.11506,0.66481,1.02186,0.0009704,0.0009704,0.0009704
54,780.006,0.99061,0.32505,0.10617,0.61639,0.95575,0.90818,0.89995,0.95051,0.71236,1,0.99064,0.995,0.98643,1.05185,0.14927,0.12131,0.61164,0.98294,0.0009506,0.0009506,0.0009506
55,791.355,1.01308,0.2748,0.13468,0.57385,0.97019,0.90825,0.90066,0.96282,0.75345,1,0.99086,0.995,0.995,0.96852,0.12761,0.11905,0.63101,0.95729,0.0009308,0.0009308,0.0009308
56,804.723,0.87032,0.22335,0.1144,0.52239,0.94247,0.9027,0.90909,0.95464,0.73694,0.99365,1,0.995,0.995,0.94803,0.11056,0.11784,0.58378,0.94836,0.000911,0.000911,0.000911
57,824.257,1.02609,0.35184,0.12445,0.58443,0.99939,0.9037,0.90909,0.93578,0.71882,0.99507,1,0.995,0.995,1.01315,0.1295,0.12917,0.60268,0.99152,0.0008912,0.0008912,0.0008912
58,834.901,0.87754,0.18529,0.10488,0.52971,0.91798,0.90607,0.90909,0.89823,0.66133,0.99865,1,0.995,0.98426,1.12553,0.132,0.11724,0.61979,1.03645,0.0008714,0.0008714,0.0008714
59,845.772,0.94825,0.24052,0.10338,0.54493,0.92167,0.90249,0.90909,0.93009,0.69584,0.99408,1,0.995,0.98475,1.12242,0.12925,0.10226,0.61915,0.98721,0.0008516,0.0008516,0.0008516
60,856.446,0.86101,0.23954,0.12525,0.50989,0.94403,0.9002,0.90909,0.91844,0.64798,0.99107,1,0.995,0.98196,1.12063,0.16069,0.07764,0.6612,0.97517,0.0008318,0.0008318,0.0008318
61,875.498,0.9347,0.24645,0.11744,0.53477,0.91278,0.90017,0.90909,0.90142,0.66235,0.99098,1,0.995,0.98801,1.08073,0.15763,0.07459,0.69462,0.96733,0.000812,0.000812,0.000812
62,886.335,0.9279,0.24938,0.14422,0.51681,0.95462,0.9008,0.90909,0.83542,0.65265,0.99158,1,0.995,0.98645,1.11432,0.13711,0.08696,0.65773,1.07795,0.0007922,0.0007922,0.0007922
63,897.249,0.93973,0.25585,0.11574,0.52677,0.93565,0.9016,0.90909,0.83729,0.63821,0.99219,1,0.995,0.995,1.11359,0.14055,0.08524,0.68287,1.07686,0.0007724,0.0007724,0.0007724
64,908.116,0.90648,0.28586,0.11726,0.51707,0.92247,0.90195,0.90909,0.90208,0.65292,0.99253,1,0.995,0.995,1.0933,0.13714,0.07563,0.67223,0.98681,0.0007526,0.0007526,0.0007526
65,918.993,0.85613,0.19513,0.11977,0.50778,0.9441,0.90234,0.90909,0.89736,0.66788,0.99298,1,0.995,0.97609,1.12405,0.15059,0.06553,0.64946,0.99076,0.0007328,0.0007328,0.0007328
66,929.83,0.78883,0.16967,0.05765,0.47423,0.90814,0.91587,0.9905,0.9275,0.68065,0.99255,1,0.995,0.98825,1.09042,0.12257,0.05839,0.60492,0.97643,0.000713,0.000713,0.000713
67,940.615,0.87898,0.21325,0.08188,0.49625,0.89755,0.91646,0.99758,0.935,0.69758,0.98932,1,0.995,0.989,1.0538,0.12009,0.06242,0.58454,0.97419,0.0006932,0.0006932,0.0006932
68,951.266,0.84323,0.20983,0.16928,0.52299,0.96308,0.91293,1,0.9575,0.69387,0.98598,1,0.995,0.99178,1.0479,0.12618,0.0716,0.61114,0.98691,0.0006734,0.0006734,0.0006734
69,961.826,0.86884,0.19901,0.07554,0.49409,0.9206,0.9085,1,0.965,0.69902,1,0.9944,0.995,0.99225,1.07576,0.11861,0.08304,0.618,0.99418,0.0006536,0.0006536,0.0006536
70,974.313,0.81793,0.21971,0.10637,0.4842,0.91997,0.90027,0.90909,0.95935,0.72761,0.99111,1,0.995,0.995,1.11506,0.10184,0.08417,0.60267,0.98347,0.0006338,0.0006338,0.0006338
71,986.634,0.92322,0.15691,0.1401,0.51661,0.93144,0.89911,0.90909,0.95117,0.72035,0.9896,1,0.995,0.995,1.06633,0.09922,0.08331,0.61665,0.96448,0.000614,0.000614,0.000614
72,999.024,0.82618,0.23669,0.05965,0.4673,0.9005,0.89778,0.90909,0.95117,0.7047,0.98821,1,0.995,0.98809,1.06483,0.11335,0.11242,0.59004,0.97309,0.0005942,0.0005942,0.0005942
73,1012.68,0.89579,0.26505,0.11664,0.53143,0.90594,0.89893,0.90909,0.93415,0.67389,0.99057,1,0.995,0.995,1.15121,0.11425,0.12274,0.58505,1.08137,0.0005744,0.0005744,0.0005744
74,1023.41,0.89207,0.20719,0.06967,0.50202,0.92445,0.90719,0.89004,0.90321,0.66652,1,0.98095,0.995,0.995,1.27074,0.10457,0.1395,0.57148,1.25893,0.0005546,0.0005546,0.0005546
75,1034.34,0.89907,0.20404,0.14505,0.54281,0.93117,0.90795,0.89772,0.89503,0.66554,1,0.98725,0.995,0.995,1.28807,0.10269,0.13374,0.57114,1.27294,0.0005348,0.0005348,0.0005348
